figure_id,numbering_status,manuscript_tier,figure_family,title,canonical_stem,source_kind,source_record,notes
Fig1,active,main,ai_schematic,Current FULLER Accelerator Architecture,Fig1_CurrentSystemStack,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Restored prior FINAL_ACCEPTED 6400w architecture schematic after user correction; caption carries modeled-integration and DET/E3 control-quality boundary wording.
Fig2,active,main,data-driven exact service-chain timeline,HOPS Current Attention-Serving Timeline,Fig2_HOPSTimeline,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Timeline redraw keeps exact trace geometry and adds mixed-source/gauge cues.
Fig3,active,main,phase4_data_figure,Phase4 Runtime/Accuracy Boundary,Fig3_Phase4RuntimeAccuracyBoundary,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Active remediated pack figure; traceability points to final pack path.
Fig4,active,main,phase4_data_figure,Runtime-Accuracy Pareto,Fig4_RuntimeAccuracyPareto,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Active remediated pack figure; traceability points to final pack path.
Fig5,active,main,phase4_data_figure,Bounded Sensitivity,Fig5_BoundedSensitivity,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Renamed from broad legacy wording to bounded sensitivity wording; closes TCQ-LOW-001.
Fig6,active,main,phase4_data_figure,Scaling Support,Fig6_ScalingSupport,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Active remediated pack figure; traceability points to final pack path.
Fig7,active,main,phase4_data_figure,Device Context,Fig7_DeviceContext,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Active remediated pack figure; traceability points to final pack path.
Fig8,active,main,phase4_data_figure,Holdout Interpretation Gate,Fig8_HoldoutClaimBoundary,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Active remediated pack figure; traceability points to final pack path.
Fig9,active,main,ai_schematic,ASTRA/DET Bitstream Micro-Mechanism,Fig9_ASTRA_DETBitstreamMicroMechanism,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Active remediated pack figure; traceability points to final pack path.
Fig10,active,main,ai_schematic,MESO Broadcast Reuse Mechanism,Fig10_MESOBroadcastReuseMechanism,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Active remediated pack figure; traceability points to final pack path.
Fig11,active,main,ai_schematic,SPARSE Activity Gating Mechanism,Fig11_SparseActivityGatingMechanism,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Active remediated pack figure; traceability points to final pack path.
Fig12,active,main,ai_schematic,PHY Link Budget Mechanism,Fig12_PHYLinkBudgetMechanism,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Active remediated pack figure; traceability points to final pack path.
AppF1,active,appendix,phase4_data_figure,Seed/Range Variability,AppF1_SeedRangeVariability,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Appendix-local active pack figure; pack-level caption boundary manifest is authoritative for non-embedded use.
AppF2,active,appendix,phase4_data_figure,Data-Figure Compatibility Matrix,AppF2_DataFigureCompatibility,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Appendix-local active pack figure; pack-level caption boundary manifest is authoritative for non-embedded use.
AppF3,active,appendix,phase4_data_figure,Related-Work Radar,AppF3_RelatedWorkRadar,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Appendix-local active pack figure; pack-level caption boundary manifest is authoritative for non-embedded use.
AppF4,active,appendix,phase4_data_figure,Mechanism Ablation Context,AppF4_MechanismAblationContext,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Traceability uses explicit final/source run-tag roles; source mechanism evidence run tag retained separately.
AppF5,active,appendix,phase4_data_figure,Mechanism Energy Breakdown,AppF5_MechanismEnergyBreakdown,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Traceability uses explicit final/source run-tag roles; source mechanism evidence run tag retained separately.
AppF6,active,appendix,phase4_data_figure,DET/SPARSE Sweep Context,AppF6_DETOperatingPointContext,traceability_csv,figures/paper_figures_20260430_full_figure_strict_remediated/figure_traceability.csv,Traceability uses explicit final/source run-tag roles; source mechanism evidence run tag retained separately.
