tag,date,roadmap_item,range_id,parameter,parameter_group,unit,nominal_value,optimistic_value,pessimistic_value,boundary_value,worse_direction,nominal_label,pessimistic_label,range_source,evidence_label,source_artifact,source_rows,architecture_parameter_linked,r6_boundary_linked,claim_boundary,acceptance_status
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_adc4_energy_pj,adc4_energy_pj,adc_tier_energy,pJ/conversion,0.06597222218304792,0.06597222218126009,0.06597222227305734,0.06597222227305734,higher,architecture median ADC macro calibration,maximum measured J1 ADC macro energy corner,J1 ADC macro measured rows,spice_macro,experiments/results/report_data/suds_adc_macro_sanity_20260512_j1_quality_boost.csv,12,True,False,"ADC macro calibration only; not PDK, extracted-layout, silicon, measured hardware energy, or full SPICE closure.",pass
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_adc4_latency_ps,adc4_latency_ps,adc_tier_latency,ps/conversion,1000.0,250.0,1414.213562373095,1414.213562373095,higher,nominal J1 ADC macro latency corner,slowest measured J1 ADC macro rate corner,J1 ADC macro measured low/nominal/high-rate rows,spice_macro,experiments/results/report_data/suds_adc_macro_sanity_20260512_j1_quality_boost.csv,12,False,False,ADC macro latency calibration only; not timing closure or hardware measurement.,pass
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_adc6_energy_pj,adc6_energy_pj,adc_tier_energy,pJ/conversion,0.2638888890910042,0.2638888887281775,0.26388888909222974,0.26388888909222974,higher,architecture median ADC macro calibration,maximum measured J1 ADC macro energy corner,J1 ADC macro measured rows,spice_macro,experiments/results/report_data/suds_adc_macro_sanity_20260512_j1_quality_boost.csv,12,True,False,"ADC macro calibration only; not PDK, extracted-layout, silicon, measured hardware energy, or full SPICE closure.",pass
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_adc6_latency_ps,adc6_latency_ps,adc_tier_latency,ps/conversion,1000.0,250.0,1154.7005383792514,1154.7005383792514,higher,nominal J1 ADC macro latency corner,slowest measured J1 ADC macro rate corner,J1 ADC macro measured low/nominal/high-rate rows,spice_macro,experiments/results/report_data/suds_adc_macro_sanity_20260512_j1_quality_boost.csv,12,False,False,ADC macro latency calibration only; not timing closure or hardware measurement.,pass
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_adc8_energy_pj,adc8_energy_pj,adc_tier_energy,pJ/conversion,1.0555555563591164,1.0555555545382873,1.055555556369382,1.055555556369382,higher,architecture median ADC macro calibration,maximum measured J1 ADC macro energy corner,J1 ADC macro measured rows,spice_macro,experiments/results/report_data/suds_adc_macro_sanity_20260512_j1_quality_boost.csv,12,True,False,"ADC macro calibration only; not PDK, extracted-layout, silicon, measured hardware energy, or full SPICE closure.",pass
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_adc8_latency_ps,adc8_latency_ps,adc_tier_latency,ps/conversion,1000.0,250.0,1000.0,1000.0,higher,nominal J1 ADC macro latency corner,slowest measured J1 ADC macro rate corner,J1 ADC macro measured low/nominal/high-rate rows,spice_macro,experiments/results/report_data/suds_adc_macro_sanity_20260512_j1_quality_boost.csv,12,False,False,ADC macro latency calibration only; not timing closure or hardware measurement.,pass
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_modulator_extinction_ratio_db,modulator_extinction_ratio_db,photonic_noise,dB,6.0,10.0,3.0,3.0,lower,middle PHY ER sweep corner,lowest ER PHY stress corner,PHY boundary sweep extinction-ratio axis,parametric_boundary,experiments/results/report_data/suds_phy_circuit_boundary_20260511_p2p3_quality.csv,576,False,False,"Calibration and boundary evidence only; not device-solver, foundry, extracted-layout, silicon, bench-energy, Lumerical, Spectre, or P&R closure.",pass
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_detector_crosstalk_db,detector_crosstalk_db,photonic_noise,dB,-25.0,-30.0,-15.0,-15.0,higher,middle PHY crosstalk sweep corner,highest crosstalk PHY stress corner,PHY boundary sweep crosstalk axis,parametric_boundary,experiments/results/report_data/suds_phy_circuit_boundary_20260511_p2p3_quality.csv,576,False,False,"Calibration and boundary evidence only; not device-solver, foundry, extracted-layout, silicon, bench-energy, Lumerical, Spectre, or P&R closure.",pass
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_phy_pass_ratio,phy_pass_ratio,photonic_boundary,pass fraction,0.6006944444444444,0.6666666666666666,0.2708333333333333,0.2708333333333333,lower,overall PHY pass ratio tied to architecture table,worst ER/crosstalk grouped PHY pass ratio,PHY boundary sweep pass/fail summary,parametric_boundary,experiments/results/report_data/suds_phy_circuit_boundary_20260511_p2p3_quality.csv,576,True,False,"Calibration and boundary evidence only; not device-solver, foundry, extracted-layout, silicon, bench-energy, Lumerical, Spectre, or P&R closure.",pass
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_phy_laser_power_mw,phy_laser_power_mw,photonic_boundary,mW,0.11804477243627004,0.0676826666664913,0.19988868572412116,0.9043062970228268,higher,median passing PHY laser-power row,largest passing PHY laser-power row below the limit,PHY boundary sweep laser-power pass/fail rows,parametric_boundary,experiments/results/report_data/suds_phy_circuit_boundary_20260511_p2p3_quality.csv,576,False,False,"Calibration and boundary evidence only; not device-solver, foundry, extracted-layout, silicon, bench-energy, Lumerical, Spectre, or P&R closure.",pass
20260513_tetc_pivot,2026-05-14,R8_adc_and_photonic_calibration_deepening,r8_laser_multiplier,laser_multiplier,photonic_sensitivity,x,1.0,0.85,1.15,4.0,higher,selected architecture nominal laser scale,R6 named pessimistic laser scale,R6 named-regime and one-at-a-time laser sweep,system_sensitivity_boundary,experiments/results/report_data/suds_tetc_system_sensitivity_20260513_tetc_pivot.json,124,True,True,"Calibration and boundary evidence only; not device-solver, foundry, extracted-layout, silicon, bench-energy, Lumerical, Spectre, or P&R closure.",pass
