figure_id,public_source_path,public_render_output,render_command,claim_boundary
Fig1,figures/suds_ai_redraw_20260510/fig1_saig_suds_interface/Fig1_SAIG_SUDS_Interface_academic_2864w.pdf,build/rendered_figures/Fig1_SAIGAndSUDSInterface.pdf,make render-paper-figures,"Modeled methodology schematic only; no silicon, SPICE, real GLUE, or hardware-measurement claim."
Fig2,experiments/results/runs/slack_manifest.json,build/rendered_figures/Fig2_SlackSignalAvailability.pdf,make render-paper-figures,Slack availability from HOPS/DPTC timeline-derived manifest; L1 independence is a scoped statistical annotation.
Fig3,figures/suds_ai_redraw_20260510/fig3_suds_ternary_policy/Fig3_SUDS_Ternary_Policy_selected_literature_style_2864w.pdf,build/rendered_figures/Fig3_SUDSTernaryPolicy.pdf,make render-paper-figures,"Modeled policy schematic only; no silicon, SPICE, measured accuracy, real GLUE, or hardware-measurement claim."
Fig4,experiments/results/runs/phase_c/phase_c_summary.json,build/rendered_figures/Fig4_ModeledAccuracyEnergyTradeoff.pdf,make render-paper-figures,Modeled ADC energy reduction against analytical accuracy-impact drop; not measured hardware energy.
Fig5,experiments/results/runs/phase_c/phase_c_summary.json,build/rendered_figures/Fig5_TierDistributionADCWaterfall.pdf,make render-paper-figures,Mechanism explanation under the analytical ADC model; 4-bit ADC cost is modeled as 1x base and 8-bit as 16x base.
Fig6,experiments/results/report_data/suds_bounded_mps_validation_20260510.csv,build/rendered_figures/Fig6_BoundedMPSValidation.pdf,make render-paper-figures,"MobileViT-S, 5000 ImageNet samples, 4 seeds, MPS backend; bounded validation only."
AppF1,experiments/results/runs/phase_c/phase_c_summary.json,build/rendered_figures/AppF1_ThresholdScan.pdf,make render-paper-figures,Full threshold-grid sensitivity under the analytical model.
AppF2,experiments/results/runs/phase_d/phase_d_summary.json,build/rendered_figures/AppF2_SUDSL1OverlaySensitivity.pdf,make render-paper-figures,Slack plus L1 overlay sensitivity; not a direct prior-work equivalence claim.
AppF3,experiments/results/runs/phase_e/phase_e_summary.json,build/rendered_figures/AppF3_SyntheticProfileStress.pdf,make render-paper-figures,Synthetic BERT/GLUE-style profile only; not real BERT inference or real GLUE evaluation.
AppF4,experiments/results/runs/phase_f/phase_f_summary.json,build/rendered_figures/AppF4_ParametricPHYCheck.pdf,make render-paper-figures,Parametric optical link-budget check only; not SPICE-level or silicon PHY closure.
