parameter,value,unit,evidence_label,source,source_anchor,claim_boundary,tag
tile_dim,32,DPTC rows/columns,literature_anchored_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,Lightening Fig. 4/5 and Table II; HyAtten discusses 32x32 DPTC arrays,"architecture simulator parameter, not layout closure",20260513_tetc_pivot
tiles,4,tiles,literature_anchored_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,Lightening architecture configuration describes LT-B with four tiles,matched Lightening-style baseline setting,20260513_tetc_pivot
cores_per_tile,2,DPTC/tile,literature_anchored_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,Lightening architecture configuration describes two DPTC per LT-B tile,matched Lightening-style baseline setting,20260513_tetc_pivot
frequency_ghz,5.0,GHz,literature_anchored_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,Lightening high-level architecture states DPTCs are clocked at 5 GHz,"architecture simulator frequency, not measured local hardware",20260513_tetc_pivot
sram_global_kib,2048,KiB,literature_anchored_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,Lightening memory hierarchy describes 2 MB global SRAM,architecture simulator parameter,20260513_tetc_pivot
sram_subarray_kib,32,KiB,literature_anchored_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,Lightening memory hierarchy follows 32 KB SRAM sub-arrays,architecture simulator parameter,20260513_tetc_pivot
adc8_pj,1.0555555563591164,pJ/conversion,ngspice_or_fallback_macro_calibration,experiments/results/report_data/suds_adc_macro_sanity_20260512_j1_quality_boost.json,median measured 8-bit ADC macro row,"macro calibration only; not PDK, extracted physical design, or hardware signoff",20260513_tetc_pivot
adc6_pj,0.2638888890910042,pJ/conversion,ngspice_or_fallback_macro_calibration,experiments/results/report_data/suds_adc_macro_sanity_20260512_j1_quality_boost.json,median measured 6-bit ADC macro row,macro calibration only,20260513_tetc_pivot
adc4_pj,0.06597222218304792,pJ/conversion,ngspice_or_fallback_macro_calibration,experiments/results/report_data/suds_adc_macro_sanity_20260512_j1_quality_boost.json,median measured 4-bit ADC macro row,macro calibration only,20260513_tetc_pivot
dac_pj,0.6861111116334256,pJ/conversion,literature_scaled_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,Lightening Table III and bit-width/frequency power scaling statement,architecture-level conversion accounting,20260513_tetc_pivot
hyatten_low_resolution_fraction,0.85,fraction,literature_anchored_assumption,kb_markdown/01_transformer_attention_photonic/2501.11286_HyAtten_Hybrid_Photonic_Digital_Attention_Accelerator.md,HyAtten reports over 85 percent of analog signals can use low-resolution converters,"matched selector baseline, not local HyAtten implementation",20260513_tetc_pivot
control_pj_per_sideband_group,0.5903999999999999,pJ/group,rtl_synthesis_proxy,experiments/results/report_data/suds_rtl_control_overhead_20260512_j2_quality_boost.json,"1 GHz, 32-column sideband control row",Yosys/proxy sideband accounting; not liberty-backed timing or P&R,20260513_tetc_pivot
phy_nominal_pass_ratio,0.6006944444444444,fraction,parametric_boundary,experiments/results/report_data/suds_phy_circuit_boundary_20260511_p2p3_quality.json,PHY boundary sweep pass/fail summary,parametric optical-link boundary only,20260513_tetc_pivot
phy_pessimistic_laser_multiplier,1.15,x,parametric_boundary,kb_markdown/01_transformer_attention_photonic/ASTRA_Stochastic_Transformer_Silicon_Photonics_TECS2025.md,ASTRA link/power discussion and local PHY boundary sweep stress case,"sensitivity setting, not optical-device closure",20260513_tetc_pivot
lightening_adc_temporal_factor,0.16666666666666666,x ADC energy,literature_anchored_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,Lightening reports temporal accumulation before ADC with about 6x ADC cost reduction,matched architecture baseline feature,20260513_tetc_pivot
tempo_time_multiplexing_boundary,1.0,modeled boundary row enabled,literature_boundary,kb_markdown/01_transformer_attention_photonic/2402.07393_TeMPO_Transformer_Acceleration_with_Co-packaged_Silicon_Photonics.md,TeMPO uses time-multiplexed dynamic photonic tensor cores and hierarchical temporal integration,boundary baseline only; not a local TeMPO implementation,20260513_tetc_pivot
astra_stochastic_boundary,1.0,modeled boundary row enabled,literature_boundary,kb_markdown/01_transformer_attention_photonic/ASTRA_Stochastic_Transformer_Silicon_Photonics_TECS2025.md,"ASTRA uses stochastic signed optical multipliers, homodyne VDPEs, and temporal analog accumulation",boundary baseline only; stochastic fabric is outside the selected SUDS DPTC fabric,20260513_tetc_pivot
enlighten_l1_boundary,1.0,selector boundary enabled,literature_boundary,kb_markdown/01_transformer_attention_photonic/ENLighten_Lighten_the_Transformer_Enable_Efficient_Optical_Acceleration_arXiv2510.01673.md,"ENLighten uses PTC-column sparsity, L1-style selection, densification, and adaptive operating granularity","used to explain local selector boundary results, not as a claimed SUDS architecture",20260513_tetc_pivot
selected_sideband_group_cols,32,columns/group,selected_design_point,experiments/results/report_data/suds_rtl_control_overhead_20260512_j2_quality_boost.json,32-column sideband control row is the RTL/proxy calibration anchor,selected operating point for architecture simulation,20260513_tetc_pivot
selected_adc_sharing,temporal_accum,mode,selected_design_point,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,output-stationary DPTC temporal accumulation before ADC,selected operating point for architecture simulation,20260513_tetc_pivot
