gate_id,gate,required,status,evidence,blockers,next_action
S0,Artifact gate is necessary but not sufficient,True,pass,pivot_decision=tetc_submission_ready; architecture_status=pass,,Keep the pivot gate as artifact-pack readiness only.
S1,Promoted SUDS Pareto row is competitive against measured same-fabric baselines,True,pass,bert_base_glue_seq128: suds_pareto edp=0.666 delta=0.000; mobilevit_s_transformer_blocks_256: suds_pareto edp=0.919 delta=-0.015,,"Rework the policy, operating point, or claim so SUDS is not dominated by measured same-fabric selectors."
S1b,R4 same-simulator strong-baseline fairness matrix passes,True,pass,r4=pass; stop=no R4 hard stop; rows=28; same_scope=14; boundary=6; dominators=0,,Regenerate R4 and revise the claim if any same-scope baseline dominates SUDS under equal accuracy.
S2,Promoted accuracy loss stays within a TETC-grade budget,True,pass,worst_promoted_suds_delta_pp=-0.015,,Target <=1 pp loss for promoted rows or show a full accuracy/EDP Pareto instead of a single headline.
S2b,R3 end-to-end perturbation accuracy is linked to PPA policy,True,pass,r3=pass; stop=no R3 hard stop; worst_delta=-0.01450000000000351; rows=18; promoted_rows=2,,Regenerate R3 and ensure promoted MPS rows match architecture tier ratios and R2 trace IDs.
S3,Transformer workload grounding is hardware-derived enough for the main claim,True,pass,"glue_tasks=sst2,mrpc,mnli,qqp,qnli,rte; devices=mps; mobilevit_completion=1.0; pivot_glue_link_rows=126; schedule_kernel_rows=1008; schedule_link_rows=126; schedule_sources=dptc_photonic_tile_schedule; original_glue_analytical_slack=True",,Replace analytical BERT slack with hardware-derived schedule metadata before calling the route submission-ready.
S4,Manuscript maturity reaches full journal-paper density,True,pass,line_count=1394; references=True; figures=True,,Expand the TETC manuscript into a complete IEEE journal article with figures and references.
S5,Calibration boundaries remain traceable without circuit overclaim,True,pass,ADC/RTL/PHY parameters are checked against the pivot architecture summary.,,"Keep SPICE/RTL/PHY evidence as calibration, proxy, or boundary evidence only."
S5b,"R6 memory, conversion, and link sensitivity preserves the bounded claim",True,pass,r6=pass; stop=no R6 hard stop; nominal and pessimistic named regimes preserve the bounded promoted EDP claim; min_pessimistic_edp_improvement_pct=12.102428098701768; not_beneficial_sweep_rows=2; thin_margin_sweep_rows=6; claim_narrowing_required=True,,Regenerate R6 and narrow the claim if a realistic memory/conversion/link regime erases the benefit.
S5c,R7 RTL control-plane upgrade remains bounded and simulator-linked,True,pass,r7=pass; stop=no R7 hard stop; cells=597; area_ge=1636.4; slack_ps=279.0; control_pj_per_group=0.5904; max_control_share=0.00037261230692448683,,Regenerate R7 and rerun PPA/science gate if control overhead is no longer negligible.
S5d,R8 ADC and photonic calibration ranges remain bounded,True,pass,r8=pass; stop=no R8 hard stop; ranges remain calibration and boundary evidence only; rows=13; adc_macro=measured; phy_pass=346; phy_fail=230; r6=pass; r7=pass,,Regenerate R8 and keep the paper wording at calibration/boundary level if device closure is absent.
S6,External red-team advisory,False,pass,internal=pass; external=not_available_in_local_execution; external_required=False; equivalence=not_equivalent_to_external_review,,External red-team remains useful but is not a hard local blocker per user instruction.
