component,parameter,nominal_value,low_value,high_value,unit,evidence_label,source_path,source_anchor,rationale
ADC,8bit_adc_energy,1.0,0.5,2.0,relative_to_8bit_adc,calibrated_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,"source-page 8, Table III; Sec. V evaluation",Lightening-Transformer scales ADC/DAC power by bit-width and frequency; 8-bit ADC is the normalized baseline conversion.
ADC,4bit_adc_energy,0.0625,0.03125,0.125,relative_to_8bit_adc,modeled_from_calibrated_scaling,kb_markdown/01_transformer_attention_photonic/2501.11286_HyAtten_Hybrid_Photonic_Digital_Attention_Accelerator.md,Sec. II-C observations; Sec. IV-A setup; ADC survey scaling,SUDS uses a Walden-style bit-depth scaling model: 4-bit ADC energy is 1/16 of the 8-bit baseline before sensitivity factors.
ADC,8bit_adc_latency,1.0,0.5,2.0,relative_conversion_slot,calibrated_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,"source-page 8, Table III; analog temporal accumulation discussion",High-resolution conversion is treated as the baseline conversion-latency slot.
ADC,4bit_adc_latency,0.5,0.25,1.0,relative_conversion_slot,calibrated_assumption,kb_markdown/01_transformer_attention_photonic/2501.11286_HyAtten_Hybrid_Photonic_Digital_Attention_Accelerator.md,Fig. 5 and Sec. IV-B discussion of low-resolution ADC latency/area,Low-resolution conversion is modeled as a shorter/parallelizable slot; sensitivity allows no latency advantage.
DAC_MZM,operand_encoding_energy,0.65,0.325,1.3,relative_to_8bit_adc,calibrated_assumption,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,Sec. III/IV DPTC encoding-cost discussion; Fig. 8 power breakdown,Operand encoding is kept as a large non-ADC term because DAC/MZM modulation is repeatedly identified as a dominant bottleneck.
TIA_PD,receive_frontend_energy,0.12,0.06,0.24,relative_to_8bit_adc,calibrated_assumption,kb_markdown/01_transformer_attention_photonic/ASTRA_Stochastic_Transformer_Silicon_Photonics_TECS2025.md,Sec. 3.4 PD/BPD/PCA transduction; Sec. 4.4 component energy,Receive frontend remains in the total-energy denominator even when ADC tiering changes.
Laser,wallplug_laser_energy,0.18,0.09,0.36,relative_to_8bit_adc,calibrated_assumption,kb_markdown/01_transformer_attention_photonic/ASTRA_Stochastic_Transformer_Silicon_Photonics_TECS2025.md,"Sec. 4.3 simulator assumptions; comb laser >-3 dBm, 25 wavelengths, 0.5 W wall-plug",Laser cost is modeled separately from ADC energy and is stress-scaled by crosstalk/link-budget penalties.
WDM,usable_wavelength_channels,20.0,18.0,25.0,channels,calibrated_assumption,kb_markdown/01_transformer_attention_photonic/ASTRA_Stochastic_Transformer_Silicon_Photonics_TECS2025.md,Sec. 2.3 crosstalk limit; Sec. 4.3 comb-laser assumptions,ASTRA cites 18 wavelength support at 8-bit precision under crosstalk constraints and uses 25 usable comb wavelengths.
Crosstalk,link_budget_penalty,1.0,1.0,1.15,laser_power_multiplier,calibrated_assumption,kb_markdown/02_photonic_nn_accelerators/SCATTER_ICCAD2024.md,Sec. 3.2.1 power/noise model; Fig. 4 crosstalk; Fig. 9 thermal variation,Crosstalk is represented as a laser/link-budget penalty rather than an accuracy guarantee.
Control,suds_scheduler_control_overhead,0.03,0.0,0.1,fraction_of_suds_conversion_energy,modeled,docs/coordination/active/SUDS_MAX_QUALITY_P0_P1_TASKS.md,P1.1 Interface Overhead Model,Control overhead is not measured yet; P0.4 sweeps 0-10% and leaves exact accounting to P1.1.
System,system_energy_methodology,1.0,1.0,1.0,method_anchor,audit,kb_markdown/04_systems_interconnect_scaling/ASCEND_Photonic_Interconnects_TCAS2022.md,"Sec. IV-A/IV-B; MAESTRO, DRAMSim2, CACTI, DSENT, Synopsys methodology",Total-system claims require broader memory/interconnect models; this appendix only calibrates conversion/peripheral slices.
