figure_id,numbering_status,manuscript_tier,figure_family,title,canonical_stem,source_kind,source_record,notes
Fig1,active,main,ai_schematic,SAIG and SUDS interface,Fig1_SAIGAndSUDSInterface,traceability_csv,figures/paper_figures_20260511_suds_maxq/figure_traceability.csv,"Modeled methodology schematic only; no silicon, SPICE, real GLUE, or hardware-measurement claim."
Fig2,active,main,data_figure,Slack signal availability and independence,Fig2_SlackSignalAvailability,traceability_csv,figures/paper_figures_20260511_suds_maxq/figure_traceability.csv,Slack availability from HOPS/DPTC timeline-derived manifest; L1 independence is a scoped statistical annotation.
Fig3,active,main,ai_schematic,SUDS ternary quality-budget policy,Fig3_SUDSTernaryPolicy,traceability_csv,figures/paper_figures_20260511_suds_maxq/figure_traceability.csv,"Modeled policy schematic only; no silicon, SPICE, measured accuracy, real GLUE, or hardware-measurement claim."
Fig4,active,main,data_figure,Main modeled accuracy-energy trade-off,Fig4_ModeledAccuracyEnergyTradeoff,traceability_csv,figures/paper_figures_20260511_suds_maxq/figure_traceability.csv,Modeled ADC energy reduction against analytical accuracy-impact drop; not measured hardware energy.
Fig5,active,main,data_figure,Tier distribution and ADC energy waterfall,Fig5_TierDistributionADCWaterfall,traceability_csv,figures/paper_figures_20260511_suds_maxq/figure_traceability.csv,Mechanism explanation under the analytical ADC model; 4-bit ADC cost is modeled as 1x base and 8-bit as 16x base.
Fig6,active,main,data_figure,Full MobileViT-S measured ablation and modeled ADC ratio,Fig6_FullImageNetAblation,traceability_csv,figures/paper_figures_20260511_suds_maxq/figure_traceability.csv,"MobileViT-S full ImageNet validation split, 4 seeds, MPS; accuracy measured, ADC energy modeled from mapped tiers."
AppF1,active,appendix,data_figure,Full SUDS threshold scan,AppF1_ThresholdScan,traceability_csv,figures/paper_figures_20260511_suds_maxq/figure_traceability.csv,Full threshold-grid sensitivity under the analytical model.
AppF2,active,appendix,data_figure,SUDS + L1 overlay sensitivity,AppF2_SUDSL1OverlaySensitivity,traceability_csv,figures/paper_figures_20260511_suds_maxq/figure_traceability.csv,Slack plus L1 overlay sensitivity; not a direct prior-work equivalence claim.
AppF3,active,appendix,data_figure,Synthetic BERT/GLUE-style stress test,AppF3_SyntheticProfileStress,traceability_csv,figures/paper_figures_20260511_suds_maxq/figure_traceability.csv,Synthetic BERT/GLUE-style profile only; not real BERT inference or real GLUE evaluation.
AppF4,active,appendix,data_figure,Parametric PHY link-budget check,AppF4_ParametricPHYCheck,traceability_csv,figures/paper_figures_20260511_suds_maxq/figure_traceability.csv,Parametric optical link-budget check only; not SPICE-level or silicon PHY closure.
