figure_id,claim_allowed,source_run_tag,evidence_basis,must_not_imply,claim_boundary,notes
Fig1,Explains the modeled FULLER architecture and module placement,20260430_full_figure_strict_remediated,schematic_contract,hardware_validation; silicon_measurement; measured_integrated_closure; device_superiority,schematic_explanation_only,Semantic contract and prompt-redraw review explain architecture only; no new data or hardware claim is added.
Fig2,Explains modeled HOPS service-region timing and OAG starvation localization from exact service-chain reconstruction,20260430_full_figure_strict_remediated,data_driven_service_chain_trace,hardware_benchmarking; new_optical_primitive_claim; causal_proof_beyond_trace; deployment_readiness,hops_runtime_service_chain_only,Runtime/service-chain timing evidence is bounded to the modeled trace and must not become hardware validation.
Fig3,Shows lane-level runtime and Top-1 trade-off with speedup paired to accuracy cost,20260430_full_figure_strict_remediated,data_figure_runtime_accuracy,accuracy_preservation; unqualified_frontier_movement; deployment_readiness,runtime_accuracy_tradeoff_only,Raw values are preserved from the remediated quick report; stronger accuracy-safe claims require new promoted evidence.
Fig4,Shows runtime-accuracy trade-off structure among reviewed lanes,20260430_full_figure_strict_remediated,data_figure_tradeoff,dominance; benchmark_equivalence; device_superiority; accuracy_preservation,tradeoff_visualization_only,Use as bounded trade-off context rather than a dominance or superiority claim.
Fig5,Gives bounded sensitivity context from the active reviewed table,20260430_full_figure_strict_remediated,current_basis_sensitivity,broad_robustness; accuracy_preservation; device_level_resilience; device_superiority,bounded_sensitivity_only,Renamed from broad robustness wording to bounded sensitivity throughout the remediated pack.
Fig6,Gives declared-grid timing and scaling support with instrumented flow-buffer trace coverage,20260430_full_figure_strict_remediated,current_basis_scaling_trace,universal_scaling; queue_adequacy; hardware_flow_buffer_measurement; silicon_validation; accuracy_preservation,declared_grid_timing_trace_coverage_only,Trace coverage supports bounded interpretation over the declared grid and holdout cells only.
Fig7,Provides non-equivalent scale context across measured host rows and a modeled endpoint,20260430_full_figure_strict_remediated,data_figure_device_context,benchmark_equivalence; device_superiority; endpoint_hardware_validation; deployment_readiness,non_equivalent_scale_context_only,Measured Apple host rows and modeled MTL-FULLER endpoint must stay separated.
Fig8,Records holdout claim-boundary evidence and blocks preservation promotion,20260430_full_figure_strict_remediated,data_figure_holdout_gate,positive_preservation_wording; accuracy_preservation; deployment_readiness; broad_workload_generalization,holdout_no_promotion_gate,SPARSE and FULLER remain blocked from preservation promotion.
Fig9,Explains the ASTRA substrate and bounded DET prefix-control path,20260430_full_figure_strict_remediated,schematic_contract,DET_replacing_ASTRA; accuracy_preservation; performance_numbers; hardware_validation,schematic_explanation_only,Mechanism schematic only; DET remains subordinate to the ASTRA-derived substrate.
Fig10,Explains MESO broadcast and reuse as a support mechanism,20260430_full_figure_strict_remediated,schematic_contract,standalone_energy_win_proof; chip_layout_closure; hardware_topology_validation,schematic_explanation_only,Mechanism schematic only; no standalone source-of-gain or topology validation claim.
Fig11,Explains SPARSE threshold and mask activity gating with an accuracy gate,20260430_full_figure_strict_remediated,schematic_contract,preservation_evidence; success_badges; unqualified_sparse_acceleration; deployment_readiness,schematic_explanation_only,Mechanism schematic only; accuracy gate blocks preservation wording.
Fig12,Explains PHY as a parameterized realism envelope for modeled optical-link assumptions,20260430_full_figure_strict_remediated,schematic_contract,received_power_closure; SNR_closure; BER_closure; silicon_validation; measured_link_budget_evidence,schematic_explanation_only,Mechanism schematic only; not a link-budget validation.
AppF1,Provides variability and range context for appendix-only interpretation,20260430_full_figure_strict_remediated,data_figure_appendix_pack,guaranteed_runtime_stability; broad_robustness; accuracy_preservation,appendix_context_only,Pack-level caption boundary remains authoritative for non-embedded appendix use.
AppF2,Provides data-figure compatibility and traceability context,20260430_full_figure_strict_remediated,data_figure_appendix_pack,new_claim_support; benchmark_equivalence; deployment_readiness,administrative_context_only,Audit metadata only; does not create new performance evidence.
AppF3,Provides qualitative related-work positioning context,20260430_full_figure_strict_remediated,data_figure_appendix_pack,quantitative_superiority; benchmark_equivalence; device_superiority,qualitative_positioning_only,Related-work radar is qualitative positioning only.
AppF4,Provides bounded mechanism trade-off context for DET SPARSE HOPS and FULLER,20260430_full_figure_strict_remediated,mechanism_ablation_data,accuracy_preservation; universal_mechanism_dominance; deployment_readiness,bounded_mechanism_tradeoff_only,Source mechanism run tag is provenance; active thesis identity remains the remediated freeze.
AppF5,Supports source-of-gain discussion for modeled component energy especially E6/FULLER,20260430_full_figure_strict_remediated,mechanism_energy_data,HOPS_only_energy_causality; full_converter_driver_link_closure; benchmark_superiority; hardware_validation,modeled_component_energy_only,E6/FULLER modeled component energy may be discussed without assigning all energy causality to HOPS.
AppF6,Provides operating-point and sweep-boundary context including non-monotonic and near-miss behavior,20260430_full_figure_strict_remediated,det_sparse_sweep_data,positive_preservation_wording; alternate_tau_promotion; accuracy_preservation; deployment_readiness,bounded_sweep_no_promotion_only,Alternate tau settings remain non-promoted unless a future gate explicitly promotes them.
