final_id,manuscript_tier,figure_family,final_title,current_id,current_stem,target_stem,source_location,status,action_required,notes
Fig1,main,schematic,Current FULLER Accelerator Architecture,Fig1,Fig1_CurrentSystemStack,Fig1_CurrentSystemStack,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_figure,none,Main architecture schematic in the final thesis sequence.
Fig2,main,schematic,HOPS Service-Chain Timeline,Fig2,Fig2_HOPSTimeline,Fig2_HOPSTimeline,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_figure,none,Design-oriented HOPS timeline schematic/data reconstruction in the final thesis sequence.
Fig3,main,data,Phase4 Runtime/Accuracy Boundary,Fig3,Fig3_Phase4RuntimeAccuracyBoundary,Fig3_Phase4RuntimeAccuracyBoundary,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_data_figure,none,Runtime/accuracy boundary figure retained in final numbering.
Fig4,main,data,Runtime-Accuracy Pareto,Fig4,Fig4_RuntimeAccuracyPareto,Fig4_RuntimeAccuracyPareto,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_data_figure,none,Runtime-accuracy Pareto figure retained in final numbering.
Fig5,main,data,Bounded Sensitivity,Fig5,Fig5_BoundedSensitivity,Fig5_BoundedSensitivity,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_data_figure,none,Bounded sensitivity evidence in the continuous final thesis sequence; broad noise robustness wording removed.
Fig6,main,data,Scaling Support,Fig6,Fig6_ScalingSupport,Fig6_ScalingSupport,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_data_figure,none,Declared-grid scaling evidence in the continuous final thesis sequence after removing the non-reader-facing claim matrix.
Fig7,main,data,Device Context,Fig7,Fig7_DeviceContext,Fig7_DeviceContext,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_data_figure,none,Measured-host/modelled-endpoint context in the final thesis sequence.
Fig8,main,data,Holdout Claim Boundary,Fig8,Fig8_HoldoutClaimBoundary,Fig8_HoldoutClaimBoundary,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_data_figure,none,Holdout claim-boundary evidence in the final thesis sequence.
AppF1,appendix,data,Seed/Range Variability,AppF1,AppF1_SeedRangeVariability,AppF1_SeedRangeVariability,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_appendix_figure,none,Appendix-local numbering retained.
AppF2,appendix,data,Data-Figure Compatibility Matrix,AppF2,AppF2_DataFigureCompatibility,AppF2_DataFigureCompatibility,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_appendix_figure,none,Appendix-local numbering retained.
AppF3,appendix,data,Related-Work Radar,AppF3,AppF3_RelatedWorkRadar,AppF3_RelatedWorkRadar,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_appendix_figure,none,Appendix-local numbering retained.
AppF4,appendix,data,Mechanism Ablation Context,AppF4,AppF4_MechanismAblationContext,AppF4_MechanismAblationContext,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_appendix_figure,none,Appendix-local numbering retained; bounded measured tradeoff only.
AppF5,appendix,data,Mechanism Energy Breakdown,AppF5,AppF5_MechanismEnergyBreakdown,AppF5_MechanismEnergyBreakdown,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_appendix_figure,none,Appendix-local numbering retained; bounded mechanism evidence.
AppF6,appendix,data,DET/SPARSE Sweep Context,AppF6,AppF6_DETOperatingPointContext,AppF6_DETOperatingPointContext,figures/paper_figures_20260430_full_figure_strict_remediated,active_final_appendix_figure,none,Appendix-local numbering retained; bounded operating-point context.
