figure_id,manuscript_tier,figure_file,input_csvs,script_entry,command,run_tag,generated_at,params_summary,literature_style_anchors,literature_anchor_scope,notes,final_pack_run_tag,source_evidence_run_tag,derived_evidence_artifact
Fig1,main,,,source_only_metadata,not generated by the lightweight public data-figure target,20260430_full_figure_strict_remediated,2026-04-30T14:04:54Z,restored FINAL_ACCEPTED 6400w architecture schematic; caption boundary tightened for modeled integration and DET/E3 control-quality interpretation,composition_only: external layout references are documented in the paper bibliography,layout/style only,Current system stack schematic,20260430_full_figure_strict_remediated,20260430_full_figure_strict_remediated,
Fig3,main,build/rendered_figures/Fig3_Phase4RuntimeAccuracyBoundary.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/fig3_phase4_runtime_accuracy_boundary.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260430_full_figure_strict_remediated,2026-04-30T09:32:00Z,paper data redesign v2; SVG/PDF/PNG export; grayscale preview generated; label/layout polish applied,composition_only: external layout references are documented in the paper bibliography,layout/style only,Runtime/accuracy boundary,20260430_full_figure_strict_remediated,20260430_full_figure_strict_remediated,
Fig4,main,build/rendered_figures/Fig4_RuntimeAccuracyPareto.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/fig4_runtime_accuracy_pareto.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260430_full_figure_strict_remediated,2026-04-30T09:32:00Z,paper data redesign v2; SVG/PDF/PNG export; grayscale preview generated; label/layout polish applied,composition_only: external layout references are documented in the paper bibliography,layout/style only,Runtime/accuracy Pareto,20260430_full_figure_strict_remediated,20260430_full_figure_strict_remediated,
Fig5,main,build/rendered_figures/Fig5_BoundedSensitivity.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/fig5_bounded_sensitivity_current_basis.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260430_full_figure_strict_remediated,2026-04-30T09:32:00Z,paper data redesign v2; SVG/PDF/PNG export; grayscale preview generated; label/layout polish applied,composition_only: external layout references are documented in the paper bibliography,layout/style only,Bounded sensitivity,20260430_full_figure_strict_remediated,20260430_full_figure_strict_remediated,
Fig6,main,build/rendered_figures/Fig6_ScalingSupport.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/fig6_broad_scaling_flow_buffer_current_basis.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260430_full_figure_strict_remediated,2026-04-30T09:32:00Z,paper data redesign v2; SVG/PDF/PNG export; grayscale preview generated; label/layout polish applied,composition_only: external layout references are documented in the paper bibliography,layout/style only,Scaling support,20260430_full_figure_strict_remediated,20260430_full_figure_strict_remediated,
Fig7,main,build/rendered_figures/Fig7_DeviceContext.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/fig7_device_context.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260430_full_figure_strict_remediated,2026-04-30T09:32:00Z,paper data redesign v2; SVG/PDF/PNG export; grayscale preview generated; label/layout polish applied,composition_only: external layout references are documented in the paper bibliography,layout/style only,Device context,20260430_full_figure_strict_remediated,20260430_full_figure_strict_remediated,
Fig8,main,build/rendered_figures/Fig8_HoldoutClaimBoundary.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/fig8_holdout_claim_boundary.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260430_full_figure_strict_remediated,2026-04-30T09:32:00Z,paper data redesign v2; SVG/PDF/PNG export; grayscale preview generated; label/layout polish applied,composition_only: external layout references are documented in the paper bibliography,layout/style only,Holdout claim boundary,20260430_full_figure_strict_remediated,20260430_full_figure_strict_remediated,
Fig9,main,,,source_only_metadata,not generated by the lightweight public data-figure target,20260430_full_figure_strict_remediated,2026-05-01T00:00:00Z,Wave1 prompt-only redraw candidate04; user-preferred stronger ASTRA substrate composition retained; pass branch isolated to Serializer feed path; fail branch alone routes to fallback; schematic bitstream labels retained; all token/input cells populated with visible 0/1 or ellipsis markers; final 6400w source promoted.,composition_only: external layout references are documented in the paper bibliography,layout/style only,ASTRA/DET bitstream mechanism schematic,20260430_full_figure_strict_remediated,20260501_fig33_fig36_repair_wave1,
Fig10,main,,,source_only_metadata,not generated by the lightweight public data-figure target,20260430_full_figure_strict_remediated,2026-05-01T00:00:00Z,Wave1 prompt-only redraw; shared service region and bounded support mechanism made more salient; schematic pulse-token labelling added; final 6400w source promoted.,composition_only: external layout references are documented in the paper bibliography,layout/style only,MESO broadcast reuse mechanism schematic,20260430_full_figure_strict_remediated,20260501_fig33_fig36_repair_wave1,
Fig11,main,,,source_only_metadata,not generated by the lightweight public data-figure target,20260430_full_figure_strict_remediated,2026-05-01T00:00:00Z,Wave1 prompt-only redraw; within-budget branch separated from fallback; not-preservation-evidence note kept as boundary note; mask/activity bars labelled examples; final 6400w source promoted.,composition_only: external layout references are documented in the paper bibliography,layout/style only,SPARSE activity gating mechanism schematic,20260430_full_figure_strict_remediated,20260501_fig33_fig36_repair_wave1,
Fig12,main,,,source_only_metadata,not generated by the lightweight public data-figure target,20260430_full_figure_strict_remediated,2026-05-01T00:00:00Z,"Wave1 prompt-only redraw; post-loss path, OE boundary, model boundary, and not-silicon-validation labels strengthened; final 6400w source promoted.",composition_only: external layout references are documented in the paper bibliography,layout/style only,PHY link-budget mechanism schematic,20260430_full_figure_strict_remediated,20260501_fig33_fig36_repair_wave1,
AppF1,appendix,build/rendered_figures/AppF1_SeedRangeVariability.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/appf1_seed_range_variability.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260430_full_figure_strict_remediated,2026-04-30T09:32:00Z,paper data redesign v2; SVG/PDF/PNG export; grayscale preview generated; label/layout polish applied,composition_only: external layout references are documented in the paper bibliography,layout/style only,Seed/range variability,20260430_full_figure_strict_remediated,20260430_full_figure_strict_remediated,
AppF2,appendix,build/rendered_figures/AppF2_DataFigureCompatibility.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/appf2_data_figure_compatibility_matrix.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260430_full_figure_strict_remediated,2026-04-30T09:32:00Z,paper data redesign v2; SVG/PDF/PNG export; grayscale preview generated; label/layout polish applied,composition_only: external layout references are documented in the paper bibliography,layout/style only,Data-figure compatibility,20260430_full_figure_strict_remediated,20260430_full_figure_strict_remediated,
AppF3,appendix,build/rendered_figures/AppF3_RelatedWorkRadar.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/appf3_related_work_radar_scores.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260430_full_figure_strict_remediated,2026-04-30T09:32:00Z,paper data redesign v2; SVG/PDF/PNG export; grayscale preview generated; label/layout polish applied,composition_only: external layout references are documented in the paper bibliography,layout/style only,Related-work positioning,20260430_full_figure_strict_remediated,20260430_full_figure_strict_remediated,
AppF4,appendix,build/rendered_figures/AppF4_MechanismAblationContext.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/appf4_mechanism_ablation_context.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260426_fuller_phase4_mechanism_basis_rerun,2026-04-30T09:32:00Z,current-basis mechanism update; SVG/PDF/PNG export; complete 3-seed DET/SPARSE rows,composition_only: external layout references are documented in the paper bibliography,layout/style only,Mechanism ablation context,20260430_full_figure_strict_remediated,20260426_fuller_phase4_mechanism_basis_rerun,
AppF5,appendix,build/rendered_figures/AppF5_MechanismEnergyBreakdown.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/appf5_mechanism_energy_breakdown.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260426_fuller_phase4_mechanism_basis_rerun,2026-04-30T09:32:00Z,current-basis mechanism update; SVG/PDF/PNG export; complete 3-seed DET/SPARSE rows,composition_only: external layout references are documented in the paper bibliography,layout/style only,Mechanism energy breakdown,20260430_full_figure_strict_remediated,20260426_fuller_phase4_mechanism_basis_rerun,
AppF6,appendix,build/rendered_figures/AppF6_DETOperatingPointContext.svg,experiments/results/quick_reports/20260430_full_figure_strict_remediated/appf6_det_sparse_sweep_phase4_basis.csv,experiments/tools/render_fuller_phase4_paper_data_figures.py,make render-paper-figures,20260426_fuller_phase4_mechanism_basis_rerun,2026-04-30T09:32:00Z,current-basis mechanism update; SVG/PDF/PNG export; complete 3-seed DET/SPARSE rows,composition_only: external layout references are documented in the paper bibliography,layout/style only,DET/SPARSE operating-point context,20260430_full_figure_strict_remediated,20260426_fuller_phase4_mechanism_basis_rerun,
Fig2,main,,experiments/results/quick_reports/20260424_fig2_hops_current_timeline/fig2_hops_current_timeline_input_20260424.csv,scripts/render_fig2_pipeline_matplotlib.py,not generated by the lightweight public data-figure target,20260430_full_figure_strict_remediated,2026-05-01T12:59:36,exact_service_chain_timeline; calibrated_rows=E0|E2; exact_stage_widths_including_electronic_compute; oag_starvation_localization; explicit_overlap_window_trace_row; mixed_source_gain_callout; normalized_utilization_gauge_percent_labels; thesis_width_native_pdf,composition_only: external layout references are documented in the paper bibliography,layout/style only,HOPS exact service-chain timeline,20260430_full_figure_strict_remediated,20260424_fig2_hops_current_timeline,experiments/results/review/20260430_full_figure_strict_remediated/Fig2_HOPSTimeline_exact_trace.csv
