term,value_or_formula,unit,low,mid,high,source_path,source_page_or_row,source_type,owner,qa_status
coarse memory/conversion/optical buckets,reported bucket value / 1000,J/sample,nominal_only,from_appf5_mechanism_energy_breakdown,nominal_only,experiments/results/quick_reports/20260430_full_figure_strict_remediated/appf5_mechanism_energy_breakdown.csv,all rows,current_reviewed_quick_report,A6,context_only_not_independent_bom
ADC energy,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
DAC energy,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
Modulator driver,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
Photodetector,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
TIA / receiver electronics,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
Laser wall-plug efficiency,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
Thermal tuning,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
Calibration/control,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
Memory hierarchy,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
Static/system,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
Packaging/interface,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
Uncertainty bands,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/energy_bom_completion_gaplist.md,Missing Independent Terms,gap_record,A6,missing_independent_source_formal_blocker
