item_id,theme_bucket,short_title,venue,year,source_md_path,source_pdf_relative_path,paper_table_bucket,resource_allocation_flag,resource_allocation_mechanism,allocation_signal,scheduler_timing_signal_flag,scoped_interface_flag,evidence_location,auditor_note
C1-001,01_transformer_attention_photonic,ChatGPT at the Speed of Light,arXiv 2311.11224,2023,kb_markdown/01_transformer_attention_photonic/2311.11224_ChatGPT_at_the_Speed_of_Light.md,01_transformer_attention_photonic/2311.11224_ChatGPT_at_the_Speed_of_Light.pdf,Photonic Transformer accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-002,01_transformer_attention_photonic,HEANA High-throughput Energy-efficient Approximate Nonlinear Transformer Accelerator,arXiv 2402.03247,2024,kb_markdown/01_transformer_attention_photonic/2402.03247_HEANA_High-throughput_Energy-efficient_Approximate_Nonlinear_Transformer_Accelerator.md,01_transformer_attention_photonic/2402.03247_HEANA_High-throughput_Energy-efficient_Approximate_Nonlinear_Transformer_Accelerator.pdf,Photonic Transformer accelerators,true,approximate nonlinear-transformer acceleration knobs,operator approximation and nonlinear-function cost profile,false,false,source-page 1; metadata: contribution/key_claims/method_tags,"RA-positive: approximation is driven by local operator/function characteristics, not scheduler slack."
C1-003,01_transformer_attention_photonic,TeMPO: Efficient Time-Multiplexed Dynamic Photonic Tensor Core for,arXiv 2402.07393,2024,kb_markdown/01_transformer_attention_photonic/2402.07393_TeMPO_Transformer_Acceleration_with_Co-packaged_Silicon_Photonics.md,01_transformer_attention_photonic/2402.07393_TeMPO_Transformer_Acceleration_with_Co-packaged_Silicon_Photonics.pdf,Photonic Transformer accelerators,true,temporal accumulation and photonic Transformer precision budgeting,static accelerator/workload precision setting,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: precision/resource setting is accelerator-local and not scheduler-derived.
C1-004,01_transformer_attention_photonic,Hybrid Photonic-digital Accelerator for Attention,arXiv 2501.11286,2025,kb_markdown/01_transformer_attention_photonic/2501.11286_HyAtten_Hybrid_Photonic_Digital_Attention_Accelerator.md,01_transformer_attention_photonic/2501.11286_HyAtten_Hybrid_Photonic_Digital_Attention_Accelerator.pdf,Photonic Transformer accelerators,true,hybrid photonic/digital ADC-resolution routing,photocurrent or signal-amplitude class,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: ADC precision follows signal amplitude rather than scheduling metadata.
C1-005,01_transformer_attention_photonic,ASTRA Stochastic Transformer Silicon Photonics TECS2025,TECS,2025,kb_markdown/01_transformer_attention_photonic/ASTRA_Stochastic_Transformer_Silicon_Photonics_TECS2025.md,01_transformer_attention_photonic/ASTRA_Stochastic_Transformer_Silicon_Photonics_TECS2025.pdf,Photonic Transformer accelerators,true,stochastic Transformer bitstream-length/resource modeling,operator-level stochastic precision and error profile,false,false,source-page 1; metadata: contribution/key_claims/method_tags,"RA-positive: stochastic compute budget is model/operator driven, not scheduler slack."
C1-006,01_transformer_attention_photonic,Accelerating Neural Networks for Large Language,,,kb_markdown/01_transformer_attention_photonic/Accelerating Neural Networks for Large Language Models and Graph Processing with Silicon Photonics.md,01_transformer_attention_photonic/Accelerating Neural Networks for Large Language Models and Graph Processing with Silicon Photonics.pdf,Photonic Transformer accelerators,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-007,01_transformer_attention_photonic,Afifi et al. - 2025 - ASTRA A Stochastic Transformer Neural Network Accelerator with Silicon Photonics,,2025,kb_markdown/01_transformer_attention_photonic/Afifi et al. - 2025 - ASTRA A Stochastic Transformer Neural Network Accelerator with Silicon Photonics.md,01_transformer_attention_photonic/Afifi et al. - 2025 - ASTRA A Stochastic Transformer Neural Network Accelerator with Silicon Photonics.pdf,Baseline / reference / context items,false,,,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-negative or context item for C1; no scheduler-derived accelerator-internal quality-budget interface found in Markdown audit surface.
C1-008,01_transformer_attention_photonic,ENLighten Lighten the Transformer Enable Efficient Optical Acceleration,arXiv arXiv2510.01673,2025,kb_markdown/01_transformer_attention_photonic/ENLighten_Lighten_the_Transformer_Enable_Efficient_Optical_Acceleration_arXiv2510.01673.md,01_transformer_attention_photonic/ENLighten_Lighten_the_Transformer_Enable_Efficient_Optical_Acceleration_arXiv2510.01673.pdf,Photonic Transformer accelerators,true,photonic column pruning,weight L1-norm / model-parameter importance,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: pruning is local-importance driven and complements SUDS.
C1-009,01_transformer_attention_photonic,Lightening Transformer HPCA2024,HPCA,2024,kb_markdown/01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.md,01_transformer_attention_photonic/Lightening_Transformer_HPCA2024.pdf,Photonic Transformer accelerators,true,DPTC parameter selection and optical-simulation resource budgeting,photonic component power/latency model,false,false,source-page 1; metadata: contribution/key_claims/method_tags,RA-positive: design-space parameters are modeled without scheduler-quality interface.
C1-010,01_transformer_attention_photonic,Morsali et al. - 2025 - Opto-ViT Architecting a Near-Sensor Region of Interest-Aware Vision Transformer Accelerator with Si,,2025,kb_markdown/01_transformer_attention_photonic/Morsali et al. - 2025 - Opto-ViT Architecting a Near-Sensor Region of Interest-Aware Vision Transformer Accelerator with Si.md,01_transformer_attention_photonic/Morsali et al. - 2025 - Opto-ViT Architecting a Near-Sensor Region of Interest-Aware Vision Transformer Accelerator with Si.pdf,Photonic Transformer accelerators,true,region-of-interest aware near-sensor Vision Transformer allocation,ROI patch importance / sensor-side saliency,false,false,source-page 1; metadata: contribution/key_claims/method_tags,"RA-positive: data-dependent saliency, not scheduler timing, drives selection."
