experiment_id,lane_label,mechanism_focus,run_id,accuracy_context_run_id,row_role,expected_baseline,row_status,relabel_forbidden,experiment_match_count,context_match_count,baseline_match_count,target_match_count,selected_row_id,selected_source_run_id,selected_row_experiment_id,selected_config_snapshot,selected_config_snapshot_exists,selected_top1,selected_top5,selected_measurement_window,selected_truth_class,context_mismatches,expected_config_snapshot_exists,config_snapshot_contract_state,expected_run_id,expected_experiment_id,expected_split,expected_workload,expected_seed,expected_det_policy,expected_det_k_signature,expected_det_k_global,expected_sparse_tau_global,expected_sparse_active_fraction,expected_gaussian_noise_std_ref,expected_crosstalk_alpha_ref,expected_config_snapshot,selected_run_id,selected_experiment_id,selected_split,selected_workload,selected_seed,selected_det_policy,selected_det_k_signature,selected_det_k_global,selected_sparse_tau_global,selected_sparse_active_fraction,selected_gaussian_noise_std_ref,selected_crosstalk_alpha_ref,selected_config_snapshot
E0,base_true_sc,baseline,20260421_true_sc_e0_e6_preflight_e0,20260415_sc_default_dark_launch_candidate_acc_s0,baseline,True,context_backfill_required,True,2,2,1,1,20260415_sc_default_dark_launch_candidate_acc_s0,20260415_sc_default_dark_launch_candidate_acc_s0,E0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml,true,100.0,100.0,baseline_eval_pass,,split;det_k_global;sparse_tau_global;sparse_active_fraction;gaussian_noise_std_ref;crosstalk_alpha_ref;config_snapshot,true,expected_materialized_selected_historical,20260415_sc_default_dark_launch_candidate_acc_s0,E0,eval,W0_mobilevit_imagenet,0,,,64,0.25,0.75,0.0,0.0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate_acc_s0/config_snapshot.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,E0,,W0_mobilevit_imagenet,0,,,,,,,,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml
E0,base_true_sc,baseline,20260421_true_sc_e0_e6_preflight_e0,20260415_sc_default_dark_launch_candidate_acc_s0,target,False,context_backfill_required,True,2,2,1,1,20260415_sc_default_dark_launch_candidate_acc_s0,20260415_sc_default_dark_launch_candidate_acc_s0,E0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml,true,100.0,100.0,quantized_eval_pass,bitstream_model_level_measured,split;det_k_global;sparse_tau_global;sparse_active_fraction;gaussian_noise_std_ref;crosstalk_alpha_ref;config_snapshot,true,expected_materialized_selected_historical,20260415_sc_default_dark_launch_candidate_acc_s0,E0,eval,W0_mobilevit_imagenet,0,,,64,0.25,0.75,0.0,0.0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate_acc_s0/config_snapshot.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,E0,,W0_mobilevit_imagenet,0,,,,,,,,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml
E1,meso_only,meso,20260421_true_sc_e0_e6_preflight_e1,20260421_true_sc_e0_e6_preflight_e1_acc_s0,baseline,True,missing_current_lane_row,True,0,0,0,0,20260415_sc_default_dark_launch_candidate_acc_s0,20260415_sc_default_dark_launch_candidate_acc_s0,E0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml,true,100.0,100.0,baseline_eval_pass,,run_id;split;experiment_id;det_k_global;sparse_tau_global;sparse_active_fraction;gaussian_noise_std_ref;crosstalk_alpha_ref;config_snapshot,false,future_placeholder_selected_historical,20260421_true_sc_e0_e6_preflight_e1_acc_s0,E1,eval,W0_mobilevit_imagenet,0,,,64,0.25,0.75,0.0,0.0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260421_true_sc_e0_e6_preflight_e1_acc_s0/config_snapshot.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,E0,,W0_mobilevit_imagenet,0,,,,,,,,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml
E1,meso_only,meso,20260421_true_sc_e0_e6_preflight_e1,20260421_true_sc_e0_e6_preflight_e1_acc_s0,target,False,missing_current_lane_row,True,0,0,0,0,20260415_sc_default_dark_launch_candidate_acc_s0,20260415_sc_default_dark_launch_candidate_acc_s0,E0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml,true,100.0,100.0,quantized_eval_pass,bitstream_model_level_measured,run_id;split;experiment_id;det_k_global;sparse_tau_global;sparse_active_fraction;gaussian_noise_std_ref;crosstalk_alpha_ref;config_snapshot,false,future_placeholder_selected_historical,20260421_true_sc_e0_e6_preflight_e1_acc_s0,E1,eval,W0_mobilevit_imagenet,0,,,64,0.25,0.75,0.0,0.0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260421_true_sc_e0_e6_preflight_e1_acc_s0/config_snapshot.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,E0,,W0_mobilevit_imagenet,0,,,,,,,,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml
E2,flow_only,flow,20260421_true_sc_e0_e6_preflight_e2,20260421_true_sc_e0_e6_preflight_e2_acc_s0,baseline,True,missing_current_lane_row,True,0,0,0,0,20260415_sc_default_dark_launch_candidate_acc_s0,20260415_sc_default_dark_launch_candidate_acc_s0,E0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml,true,100.0,100.0,baseline_eval_pass,,run_id;split;experiment_id;det_k_global;sparse_tau_global;sparse_active_fraction;gaussian_noise_std_ref;crosstalk_alpha_ref;config_snapshot,false,future_placeholder_selected_historical,20260421_true_sc_e0_e6_preflight_e2_acc_s0,E2,eval,W0_mobilevit_imagenet,0,,,64,0.25,0.75,0.0,0.0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260421_true_sc_e0_e6_preflight_e2_acc_s0/config_snapshot.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,E0,,W0_mobilevit_imagenet,0,,,,,,,,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml
E2,flow_only,flow,20260421_true_sc_e0_e6_preflight_e2,20260421_true_sc_e0_e6_preflight_e2_acc_s0,target,False,missing_current_lane_row,True,0,0,0,0,20260415_sc_default_dark_launch_candidate_acc_s0,20260415_sc_default_dark_launch_candidate_acc_s0,E0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml,true,100.0,100.0,quantized_eval_pass,bitstream_model_level_measured,run_id;split;experiment_id;det_k_global;sparse_tau_global;sparse_active_fraction;gaussian_noise_std_ref;crosstalk_alpha_ref;config_snapshot,false,future_placeholder_selected_historical,20260421_true_sc_e0_e6_preflight_e2_acc_s0,E2,eval,W0_mobilevit_imagenet,0,,,64,0.25,0.75,0.0,0.0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260421_true_sc_e0_e6_preflight_e2_acc_s0/config_snapshot.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,E0,,W0_mobilevit_imagenet,0,,,,,,,,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml
E3,det_only,det,20260421_true_sc_e0_e6_preflight_e3,20260421_true_sc_e0_e6_preflight_e3_acc_s0,baseline,True,missing_current_lane_row,True,0,0,0,0,20260415_sc_default_dark_launch_candidate_acc_s0,20260415_sc_default_dark_launch_candidate_acc_s0,E0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml,true,100.0,100.0,baseline_eval_pass,,run_id;split;experiment_id;det_policy;det_k_signature;det_k_global;sparse_tau_global;sparse_active_fraction;gaussian_noise_std_ref;crosstalk_alpha_ref;config_snapshot,false,future_placeholder_selected_historical,20260421_true_sc_e0_e6_preflight_e3_acc_s0,E3,eval,W0_mobilevit_imagenet,0,global_k,515c2b14a97da7ea,64,0.25,0.75,0.0,0.0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260421_true_sc_e0_e6_preflight_e3_acc_s0/config_snapshot.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,E0,,W0_mobilevit_imagenet,0,,,,,,,,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml
E3,det_only,det,20260421_true_sc_e0_e6_preflight_e3,20260421_true_sc_e0_e6_preflight_e3_acc_s0,target,False,missing_current_lane_row,True,0,0,0,0,20260415_sc_default_dark_launch_candidate_acc_s0,20260415_sc_default_dark_launch_candidate_acc_s0,E0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml,true,100.0,100.0,quantized_eval_pass,bitstream_model_level_measured,run_id;split;experiment_id;det_policy;det_k_signature;det_k_global;sparse_tau_global;sparse_active_fraction;gaussian_noise_std_ref;crosstalk_alpha_ref;config_snapshot,false,future_placeholder_selected_historical,20260421_true_sc_e0_e6_preflight_e3_acc_s0,E3,eval,W0_mobilevit_imagenet,0,global_k,515c2b14a97da7ea,64,0.25,0.75,0.0,0.0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260421_true_sc_e0_e6_preflight_e3_acc_s0/config_snapshot.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,E0,,W0_mobilevit_imagenet,0,,,,,,,,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml
E4,sparse_only,sparse,20260421_true_sc_e0_e6_preflight_e4,20260421_true_sc_e0_e6_preflight_e4_acc_s0,baseline,True,missing_current_lane_row,True,0,0,0,0,20260415_sc_default_dark_launch_candidate_acc_s0,20260415_sc_default_dark_launch_candidate_acc_s0,E0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml,true,100.0,100.0,baseline_eval_pass,,run_id;split;experiment_id;det_k_global;sparse_tau_global;sparse_active_fraction;gaussian_noise_std_ref;crosstalk_alpha_ref;config_snapshot,false,future_placeholder_selected_historical,20260421_true_sc_e0_e6_preflight_e4_acc_s0,E4,eval,W0_mobilevit_imagenet,0,,,64,0.25,0.75,0.0,0.0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260421_true_sc_e0_e6_preflight_e4_acc_s0/config_snapshot.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,E0,,W0_mobilevit_imagenet,0,,,,,,,,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml
E4,sparse_only,sparse,20260421_true_sc_e0_e6_preflight_e4,20260421_true_sc_e0_e6_preflight_e4_acc_s0,target,False,missing_current_lane_row,True,0,0,0,0,20260415_sc_default_dark_launch_candidate_acc_s0,20260415_sc_default_dark_launch_candidate_acc_s0,E0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml,true,100.0,100.0,quantized_eval_pass,bitstream_model_level_measured,run_id;split;experiment_id;det_k_global;sparse_tau_global;sparse_active_fraction;gaussian_noise_std_ref;crosstalk_alpha_ref;config_snapshot,false,future_placeholder_selected_historical,20260421_true_sc_e0_e6_preflight_e4_acc_s0,E4,eval,W0_mobilevit_imagenet,0,,,64,0.25,0.75,0.0,0.0,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260421_true_sc_e0_e6_preflight_e4_acc_s0/config_snapshot.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,E0,,W0_mobilevit_imagenet,0,,,,,,,,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260415_sc_default_dark_launch_candidate/config_snapshot.yaml
