family_id,phase,experiment_id,comparison_role,baseline_pairing,workload_scope,model_scope,execution_surface,device_policy,parameter_axis,parameter_values,required_outputs,status,notes
DEVCOMP_CPU_CONTEXT_LOCAL_TORCH,core,CPU_REAL_DEVICE_CONTEXT_LOCAL_TORCH,real_device_context,CPU_vs_GPU_vs_FULLER,W0_mobilevit_imagenet,mobilevit_s,local_apple_cpu_torch,context_only_not_accelerator_backend,none,fixed_anchor,"cpu_metrics_csv;accuracy_results_csv",retained_context_anchor,Carry forward the governed local CPU contextual row unchanged while successor work widens only the XS/XXS noise evidence surface
DEVCOMP_GPU_LOCAL_MLX_MPS,core,GPU_REAL_DEVICE_LOCAL_MLX_MPS,real_device_baseline,CPU_vs_GPU_vs_FULLER,W0_mobilevit_imagenet,mobilevit_s,local_apple_gpu_mps,local_gpu_mps_only_mlx_no_cuda,none,fixed_anchor,"gpu_metrics_csv;host_metadata_json",retained_context_anchor,Retain the governed MLX MPS device row as the active local accelerator baseline for the successor widening route
ACCEL_ASTRA_SUBSTRATE_MODEL,core,ASTRA_SUBSTRATE_MODEL,accelerator_model,ASTRA_anchor_only,W0_mobilevit_imagenet,mobilevit_s,local_model_mps,governed_mps_host_unsandboxed_if_long_run,substrate_only,astra_style_substrate,"master_metrics.csv;phase1_summary.csv;timeline_summary.csv",retained_context_anchor,Keep the governed ASTRA-style substrate anchor available so noise-only widening can still postprocess paired phase1 metrics without silently widening other claims
ACCEL_FULLER_SLICE_MODEL,core,FULLER_REENTRY_V1,accelerator_model,ASTRA_substrate_pair,W0_mobilevit_imagenet,mobilevit_s,local_model_mps,governed_mps_host_unsandboxed_if_long_run,fuller_slice,HOPS+MESO+DET+SPARSE+PHY,"master_metrics.csv;phase1_summary.csv;timeline_summary.csv;flow_buffer_trace.csv;phy_budget.json",retained_context_anchor,Keep the governed fuller reentry slice anchor available while successor work only expands the scale-support noise evidence tier
NOISE_IMAGENET_MOBILEVIT_S_DENSE,core,FULLER_NOISE_SWEEP_S_DENSE_V2,robustness,ASTRA_and_FULLER_noise_profiles,W0_mobilevit_imagenet,mobilevit_s,local_model_mps,governed_mps_host_unsandboxed_if_long_run,gaussian_noise_std_x_crosstalk_alpha_dense_grid,gaussian_noise_std_grid_5;crosstalk_alpha_grid_7;sweep_resolution_dense,"noise_accuracy_csv;profile_summary_csv;calibration_log.csv",retained_primary_dense_anchor,Retain the governed dense MobileViT-S grid as the primary noise evidence anchor for successor parity widening
NOISE_IMAGENET_MOBILEVIT_XS_DENSE,core,FULLER_NOISE_SWEEP_XS_DENSE_V1,robustness,ASTRA_and_FULLER_noise_profiles,W0_mobilevit_imagenet,mobilevit_xs,local_model_mps,governed_mps_host_unsandboxed_if_long_run,gaussian_noise_std_x_crosstalk_alpha_dense_grid,gaussian_noise_std_grid_5;crosstalk_alpha_grid_7;sweep_resolution_dense,"noise_accuracy_csv;profile_summary_csv;calibration_log.csv",planned_successor_widening,Upgrade MobileViT-XS from sparse supporting profiles to the same governed dense 2D coordinate surface used by MobileViT-S
NOISE_IMAGENET_MOBILEVIT_XXS_DENSE,core,FULLER_NOISE_SWEEP_XXS_DENSE_V1,robustness,ASTRA_and_FULLER_noise_profiles,W0_mobilevit_imagenet,mobilevit_xxs,local_model_mps,governed_mps_host_unsandboxed_if_long_run,gaussian_noise_std_x_crosstalk_alpha_dense_grid,gaussian_noise_std_grid_5;crosstalk_alpha_grid_7;sweep_resolution_dense,"noise_accuracy_csv;profile_summary_csv;calibration_log.csv",planned_successor_widening,Upgrade MobileViT-XXS from sparse supporting profiles to the same governed dense 2D coordinate surface used by MobileViT-S
ABLATION_CORE_STACK,core,FULLER_ABLATION_V1,ablation,ASTRA->HOPS->HOPS+MESO->HOPS+PHY->FULLER,W0_mobilevit_imagenet,mobilevit_s,local_model_mps,governed_mps_host_unsandboxed_if_long_run,mechanism_stack,"ASTRA;HOPS;FLOW_MESO;FLOW_PHY;FULLER","ablation_summary_csv;ablation_appendix_table_csv;master_metrics.csv;phase1_summary.csv",retained_context_anchor,Keep the ablation ladder contract unchanged because successor widening must not silently re-open non-noise claim layers
BREAKDOWN_STAGE_ENERGY,core,FULLER_BREAKDOWN_V1,derived_analysis,ASTRA_vs_FULLER_stagewise,W0_mobilevit_imagenet,mobilevit_s,derived_from_governed_runs,no_new_device_surface_required,stage_and_component,btos;fetch_map;serialize_drive;writeback;electronic_compute;conversion_control;memory_move;oe;adc_pca;laser_optical;other_static,"stage_latency_breakdown_csv;stage_energy_breakdown_csv",retained_context_anchor,Keep breakdown derivations unchanged because XS/XXS dense widening should not alter ASTRA/FULLER stage accounting
SCALING_BATCH_SEQ,core,FULLER_SCALING_V1,scaling,ASTRA_vs_FULLER_batch_sequence,W0_mobilevit_imagenet,mobilevit_s,local_model_mps,governed_mps_host_unsandboxed_if_long_run,batch_size_plus_sequence_length,batch_size;sequence_length,"scaling_summary_csv;master_metrics.csv",retained_context_anchor,Keep the bounded scaling sweep unchanged while successor work focuses on dense support parity for Fig13-like noise surfaces
