term,value_or_formula,unit,low,mid,high,source_path,source_page_or_row,source_type,owner,qa_status
per-layer active channel and proxy margin,"active_channels,duty_cycle,margin_eff_db",mixed,not_applicable,from_per_layer_phy,not_applicable,experiments/results/report_data/fig2_hops_current_timeline_prep_20260424/runs/20260424_fig2_current_hops_timeline/per_layer_phy.csv,all active rows,current_proxy_trace,A7,context_only_not_link_budget
BER target,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/phy_link_budget_completion_gaplist.md,Missing Terms,gap_record,A7,missing_link_budget_source_formal_blocker
Received power,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/phy_link_budget_completion_gaplist.md,Missing Terms,gap_record,A7,missing_link_budget_source_formal_blocker
Receiver sensitivity,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/phy_link_budget_completion_gaplist.md,Missing Terms,gap_record,A7,missing_link_budget_source_formal_blocker
SNR or link margin,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/phy_link_budget_completion_gaplist.md,Missing Terms,gap_record,A7,missing_link_budget_source_formal_blocker
WDM spacing/count,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/phy_link_budget_completion_gaplist.md,Missing Terms,gap_record,A7,missing_link_budget_source_formal_blocker
Insertion loss,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/phy_link_budget_completion_gaplist.md,Missing Terms,gap_record,A7,missing_link_budget_source_formal_blocker
Crosstalk budget,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/phy_link_budget_completion_gaplist.md,Missing Terms,gap_record,A7,missing_link_budget_source_formal_blocker
Thermal drift proxy,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/phy_link_budget_completion_gaplist.md,Missing Terms,gap_record,A7,missing_link_budget_source_formal_blocker
Sensitivity pass/fail threshold,not_closed,not_closed,not_closed,not_closed,not_closed,peper_writing/thesis/reviews/experiment_first_rereview_20260501/phy_link_budget_completion_gaplist.md,Missing Terms,gap_record,A7,missing_link_budget_source_formal_blocker
