row_type,component,scope,evidence_label,count,bits_per_item,total_bits,total_bytes,update_frequency,amortization_window_inferences,nominal_control_fraction_of_suds_pre_control,pessimistic_control_fraction_of_suds_pre_control,nominal_energy_ratio_vs_baseline,pessimistic_energy_ratio_vs_baseline,latency_cycles,latency_fraction_of_serial_cycles,source_artifact,acceptance_note
component,tier_id_storage,per_column,modeled,9312,2,18624,2328.0,per_profile_or_recalibration_window,1024,0.004,0.014,,,,,experiments/results/runs/slack_manifest.json,Three SUDS tiers require two stored bits per mapped column.
component,tau_threshold_storage,per_layer,modeled,180,16,2880,360.0,per_profile_or_recalibration_window,1024,0.002,0.006,,,,,experiments/results/runs/slack_manifest.json,Two fixed-point thresholds per layer are enough for KEEP/DEGRADE/PRUNE.
component,scheduler_slack_metadata,per_layer,modeled,270,32,8640,1080.0,existing_scheduler_timing_snapshot,1024,0.004,0.012,,,,,experiments/results/runs/slack_manifest.json,"Arrival, deadline, and slack fields are modeled as retained scheduler metadata."
component,threshold_compare_logic,per_column_update,modeled,18624,16,297984,37248.0,off_critical_path_profile_update,1024,0.008,0.03,,,90,1.0929276288825799e-05,experiments/results/runs/slack_manifest.json,Two threshold comparisons per mapped column are modeled as scheduler-side logic.
component,sideband_schedule_traffic,per_profile_update,modeled,9312,2,18624,2328.0,tier_map_push_to_accelerator,1024,0.007,0.024,,,,,experiments/results/runs/slack_manifest.json,The runtime sideband can carry compact tier IDs rather than full slack arrays.
component,update_amortization_bookkeeping,per_profile_update,modeled,90,32,2880,360.0,profile_epoch_counter_and_validity_tags,1024,0.005,0.014,,,,,experiments/results/runs/slack_manifest.json,Validity tags prevent stale tier maps from being reused across unmatched profiles.
aggregate,interface_metadata_footprint,mobilevit_s_profile,modeled,9312,,33024,4128.0,per_profile_or_recalibration_window,1024,,,,,,,experiments/results/runs/slack_manifest.json,Static tier and timing metadata are near 4 KiB for the promoted MobileViT-S profile.
aggregate,nominal_control_overhead,energy_sensitivity_model,modeled_accounting,,,,,,,0.030000000000000002,,0.7463927727981325,,,,experiments/results/report_data/suds_circuit_energy_sensitivity_20260511_maxq.csv,Matches the 3% nominal control term already included in P0.4 sensitivity.
aggregate,pessimistic_control_overhead,energy_sensitivity_model,modeled_accounting,,,,,,,,0.09999999999999999,,0.9895759918751625,,,experiments/results/report_data/suds_circuit_energy_sensitivity_20260511_maxq.csv,Matches the 10% stress control term already included in P0.4 sensitivity.
aggregate,latency_impact,scheduler_path,modeled,,,,,,,,,,,90,1.0929276288825799e-05,experiments/results/runs/slack_manifest.json,One scheduler compare slot per layer is less than 0.002% of summed modeled serial cycles.
